campagne,date,variable,valeur,cible,annee
2024-2025,2025-01-28,ACTE(VGP),6554867,5615413,2024
2024-2025,2025-01-28,DOSES(J07E1),10835299,10469756,2024
2024-2025,2025-01-28,UNIVERS,20286,20579,2024
2024-2025,2025-01-28,PHARMACIES,17892,16927,2024
2024-2025,2025-01-28,POURCENTAGE,89,83,2024
2023-2024,2024-02-28,ACTE(VGP),5645127,5373898,2023
2023-2024,2024-02-28,DOSES(J07E1),10510433,11219443,2023
2023-2024,2024-02-28,UNIVERS,20585,20834,2023
2023-2024,2024-02-28,PHARMACIES,16946,16766,2023
2023-2024,2024-02-28,POURCENTAGE,83,81,2023
2022-2023,2023-02-28,ACTE(VGP),5373898,4475890,2022
2022-2023,2023-02-28,DOSES(J07E1),11219443,11178955,2022
2022-2023,2023-02-28,UNIVERS,20834,21078,2022
2022-2023,2023-02-28,PHARMACIES,16766,16356,2022
2022-2023,2023-02-28,POURCENTAGE,81,78,2022
2021-2022,2022-02-28,ACTE(VGP),4475890,3823445,2021
2021-2022,2022-02-28,DOSES(J07E1),11178955,11915574,2021
2021-2022,2022-02-28,UNIVERS,21078,21241,2021
2021-2022,2022-02-28,PHARMACIES,16356,15528,2021
2021-2022,2022-02-28,POURCENTAGE,78,74,2021
