region,code,variable,groupe,valeur,annee
11 - ILE-DE-France,11,ACTE(VGP),65 ans et plus,3930,2024
11 - ILE-DE-France,11,DOSES(J07E1),65 ans et plus,5433,2024
11 - ILE-DE-France,11,ACTE(VGP),moins de 65 ans,320,2024
11 - ILE-DE-France,11,DOSES(J07E1),moins de 65 ans,469,2024
24 - CENTRE-VAL-DE-LOIRE,24,ACTE(VGP),65 ans et plus,3741,2024
24 - CENTRE-VAL-DE-LOIRE,24,DOSES(J07E1),65 ans et plus,5880,2024
24 - CENTRE-VAL-DE-LOIRE,24,ACTE(VGP),moins de 65 ans,347,2024
24 - CENTRE-VAL-DE-LOIRE,24,DOSES(J07E1),moins de 65 ans,543,2024
27 - BOURGOGNE-FRANCHE-COMTE,27,ACTE(VGP),65 ans et plus,3109,2024
27 - BOURGOGNE-FRANCHE-COMTE,27,DOSES(J07E1),65 ans et plus,5490,2024
27 - BOURGOGNE-FRANCHE-COMTE,27,ACTE(VGP),moins de 65 ans,277,2024
27 - BOURGOGNE-FRANCHE-COMTE,27,DOSES(J07E1),moins de 65 ans,503,2024
28 - NORMANDIE,28,ACTE(VGP),65 ans et plus,3882,2024
28 - NORMANDIE,28,DOSES(J07E1),65 ans et plus,5908,2024
28 - NORMANDIE,28,ACTE(VGP),moins de 65 ans,396,2024
28 - NORMANDIE,28,DOSES(J07E1),moins de 65 ans,610,2024
32 - HAUTS-DE-France,32,ACTE(VGP),65 ans et plus,2998,2024
32 - HAUTS-DE-France,32,DOSES(J07E1),65 ans et plus,5789,2024
32 - HAUTS-DE-France,32,ACTE(VGP),moins de 65 ans,316,2024
32 - HAUTS-DE-France,32,DOSES(J07E1),moins de 65 ans,590,2024
44 - GRAND-EST,44,ACTE(VGP),65 ans et plus,3246,2024
44 - GRAND-EST,44,DOSES(J07E1),65 ans et plus,5429,2024
44 - GRAND-EST,44,ACTE(VGP),moins de 65 ans,304,2024
44 - GRAND-EST,44,DOSES(J07E1),moins de 65 ans,514,2024
52 - PAYS-DE-LA-LOIRE,52,ACTE(VGP),65 ans et plus,3624,2024
52 - PAYS-DE-LA-LOIRE,52,DOSES(J07E1),65 ans et plus,5824,2024
52 - PAYS-DE-LA-LOIRE,52,ACTE(VGP),moins de 65 ans,342,2024
52 - PAYS-DE-LA-LOIRE,52,DOSES(J07E1),moins de 65 ans,543,2024
53 - BRETAGNE,53,ACTE(VGP),65 ans et plus,3747,2024
53 - BRETAGNE,53,DOSES(J07E1),65 ans et plus,6097,2024
