region,code,ACTE(VGP),DOSES(J07E1),ratio_actes_sur_doses
11 - ILE-DE-France,11,4250,5902,0.7200948830904778
24 - CENTRE-VAL-DE-LOIRE,24,4088,6423,0.636462712128289
27 - BOURGOGNE-FRANCHE-COMTE,27,3386,5993,0.5649924912397798
28 - NORMANDIE,28,4278,6518,0.6563362994783676
32 - HAUTS-DE-France,32,3314,6379,0.519517165699953
44 - GRAND-EST,44,3550,5943,0.5973414100622582
52 - PAYS-DE-LA-LOIRE,52,3966,6367,0.6228993246426888
53 - BRETAGNE,53,4137,6724,0.6152587745389649
75 - NOUVELLE-AQUITAINE,75,3686,6357,0.5798332546798804
76 - OCCITANIE,76,3699,6122,0.6042143090493303
84 - AUVERGNE-RHONE-ALPES,84,3390,5952,0.5695564516129032
93 - PROVENCE-ALPES-COTES-D'AZUR,93,3384,5954,0.5683574067853544
94 - CORSE,94,1677,4877,0.343858929669879
